Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number
Lexus RX 350 2010 Gray,"₦ 11,200,000",₦ 10.96 M ~ 11.24 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/108474296_NjIwLTQ2NS01MjllMmM0MTYx.webp,https://pictures-nigeria.jijistatic.com/108474296_MTExLTgzLTUyOWUyYzQxNjE.webp | https://pictures-nigeria.jijistatic.com/108474298_MTExLTgzLWQxMTI1Y2FlNDc.webp | https://pictures-nigeria.jijistatic.com/108474305_MTExLTgzLWE0MWI4OWMxOTY.webp | https://pictures-nigeria.jijistatic.com/108474307_MTExLTgzLWM1YTk2ZTIzYTQ.webp | https://pictures-nigeria.jijistatic.com/108474314_MTExLTgzLWJhM2E5NWJjYzE.webp,Automatic,42000 km,,Foreign Used,,Adolphs autos,https://jiji.ng/gwarinpa/cars/lexus-rx-350-2010-gray-kEvlr9MpdXhfrW7oJAAf3Ail.html,No faults,Lexus,RX 350,2010,Gray,Yes,,,,,,,,Yes,
Toyota RAV4 2021 White,"₦ 25,000,000",₦ 25 M ~ 26.07 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/96438772_NjIwLTQ2NS1lMmFkZDgxYzQ3.webp,https://pictures-nigeria.jijistatic.com/96438772_MTExLTgzLWUyYWRkODFjNDc.webp | https://pictures-nigeria.jijistatic.com/96438767_MTExLTgzLTI0ZTg1MTNhZmQ.webp | https://pictures-nigeria.jijistatic.com/96438770_MTExLTgzLWIxNzA2MjQ0Y2U.webp | https://pictures-nigeria.jijistatic.com/96438773_MTExLTgzLTIzYmViNTRlZTU.webp | https://pictures-nigeria.jijistatic.com/96438779_MTExLTgzLTk0YThhN2I4YWI.webp,Automatic,20000 km,,Foreign Used,,AK AUTOS EMPIRE,https://jiji.ng/jabi/cars/toyota-rav4-2021-white-s4ylW2wP3Iv4DYlnoM0eBpaN.html,No faults,Toyota,RAV4,2021,White,No,,,,,,,,,
Toyota Highlander 2015 White,"₦ 11,600,000",₦ 12.5 M ~ 13.18 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/116847154_NjIwLTQ2NS04Y2Q0MzIxNTA5.webp,https://pictures-nigeria.jijistatic.com/116847154_MTExLTgzLThjZDQzMjE1MDk.webp | https://pictures-nigeria.jijistatic.com/116847156_MTExLTgzLWQ3OTFiZjk4YTM.webp | https://pictures-nigeria.jijistatic.com/116847158_MTExLTgzLTUzYzAzZjk3N2Y.webp | https://pictures-nigeria.jijistatic.com/116847160_MTExLTgzLWNiNzk1NjMyNTQ.webp | https://pictures-nigeria.jijistatic.com/116847162_MTExLTgzLTg5MmQ1NjI2Yzk.webp,Automatic,24500 km,,Nigerian Used,,Henry Magege,https://jiji.ng/jabi/cars/toyota-highlander-2015-white-s4wNAJFi13FQqR4Bdyi6nzxj.html,No faults,Toyota,Highlander,2015,White,Yes,,,,,,,,,
Toyota RAV4 XLE AWD 2020 White,"₦ 24,800,000",₦ 20.55 M ~ 21.99 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/102855525_NjIwLTQ2NS03ZjAyZDAxZjU3.webp,https://pictures-nigeria.jijistatic.com/102855525_MTExLTgzLTdmMDJkMDFmNTc.webp | https://pictures-nigeria.jijistatic.com/102855524_MTExLTgzLTM2YWUzZWFkZWY.webp | https://pictures-nigeria.jijistatic.com/102855516_MTExLTgzLThmMmExZWNlYjY.webp | https://pictures-nigeria.jijistatic.com/102855517_MTExLTgzLTgxYTY4YmEyYzM.webp | https://pictures-nigeria.jijistatic.com/102855521_MTExLTgzLTkwMzRjMmJmZmU.webp,Automatic,5075 km,Petrol,Foreign Used,,kelechi Noble,https://jiji.ng/magodo/cars/toyota-rav4-xle-awd-2020-white-g08UcUz9WpWYsaGuOBRBWAJp.html,No faults,Toyota,RAV4,2020,White,No,XLE AWD,SUV,All Wheel,2500           cc,4,203           hp,5,,
Toyota Land Cruiser Prado 2006 Black,"₦ 4,200,000,",₦ 5.5 M ~ 6 M,"Akwa Ibom, Uyo",https://pictures-nigeria.jijistatic.com/117363801_NjIwLTQ2NS00YWRhNTg3ZDJh.webp,https://pictures-nigeria.jijistatic.com/117363801_MTExLTgzLTRhZGE1ODdkMmE.webp | https://pictures-nigeria.jijistatic.com/117363794_MTExLTgzLTdjNWM1YzI5ZWM.webp | https://pictures-nigeria.jijistatic.com/117363796_MTExLTgzLTM3NGJmYzI1MjE.webp | https://pictures-nigeria.jijistatic.com/117363797_MTExLTgzLTAxYzQ3NWEzMDM.webp | https://pictures-nigeria.jijistatic.com/117363799_MTExLTgzLThlOGE5NzIzZjU.webp,Automatic,276000 km,,Nigerian Used,,Sunny Uwa,https://jiji.ng/uyo/cars/toyota-land-cruiser-prado-2006-black-BjYjbtYk8TBzH7STkJZPIxA4.html,Original parts,Toyota,Land Cruiser Prado,2006,Black,Yes,,,,,,,,,
Honda Accord Crosstour EX-L W/Navigation AWD 2014 Silver,"₦ 5,500,000,",,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/117150446_NjIwLTgyNy0zMGU3MDBmZTU1.webp,https://pictures-nigeria.jijistatic.com/117150446_MTExLTE0OC0zMGU3MDBmZTU1.webp | https://pictures-nigeria.jijistatic.com/117150369_MTExLTE0OC00ZGFmNTcyYmFl.webp | https://pictures-nigeria.jijistatic.com/117150383_MTExLTgzLWUyNzk2OWNjMDM.webp | https://pictures-nigeria.jijistatic.com/117150438_MTExLTE0OC0xMGVlNzZiZTE4.webp | https://pictures-nigeria.jijistatic.com/117150439_MTExLTE0OC03YWQxNTI5OTg2.webp,Automatic,88800 km,Petrol,Nigerian Used,,Dotun Dotun,https://jiji.ng/ojodu/cars/honda-accord-crosstour-ex-l-w-navigation-awd-2014-silver-sB6E63jWZbPZd0Y91N9suc9q.html,"First registration, No faults",Honda,Accord Crosstour,2014,Silver,,EX-L w/Navigation AWD,Hatchback,All Wheel,3500           cc,6,278           hp,5,,
Toyota Corolla 2003 Blue,"₦ 2,500,000,",₦ 2.2 M ~ 2.34 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/117324939_NjIwLTQ2NS1mZGQwZTQwNWEx.webp,https://pictures-nigeria.jijistatic.com/117324939_MTExLTgzLWZkZDBlNDA1YTE.webp | https://pictures-nigeria.jijistatic.com/117324938_MTExLTgzLTYzZTBiMmIxNDE.webp | https://pictures-nigeria.jijistatic.com/117324953_MTExLTgzLWUyY2E0NDRhY2M.webp | https://pictures-nigeria.jijistatic.com/117324955_MTExLTE0OC0zM2YxMTM0ZDdl.webp | https://pictures-nigeria.jijistatic.com/117324968_MTExLTgzLTIyODUyN2NiNDk.webp,Automatic,,,Nigerian Used,,Offor Chris Mereze,https://jiji.ng/yaba/cars/toyota-corolla-2003-blue-95DPG6A6WGbgbn1b81rdHRng.html,No faults,Toyota,Corolla,2003,Blue,Yes,,,,,,,,,
Toyota Camry SE (2.5L 4cyl 8A) 2019 Black,"₦ 17,000,000,",₦ 15.3 M ~ 15.94 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117180335_NjIwLTQ2NS1iMzUwZmY5Nzkw.webp,https://pictures-nigeria.jijistatic.com/117180335_MTExLTgzLWIzNTBmZjk3OTA.webp | https://pictures-nigeria.jijistatic.com/117180314_MTExLTgzLTYxODU1MGQzODE.webp | https://pictures-nigeria.jijistatic.com/117180317_MTExLTgzLWMwNzNmYTdhNjQ.webp | https://pictures-nigeria.jijistatic.com/117182793_MTExLTE0OC0yMGZkNWY0ODFi.webp | https://pictures-nigeria.jijistatic.com/117182795_MTExLTE0OC1kYTc3YzA2YzE3.webp,Automatic,56743 km,,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Air Conditioning | Airbags | Alloy Wheels | AM/FM Radio | Android Auto | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar | CarPlay | CD Player | Electric Mirrors | Cup Holders | Front Fog Lamps | Electric Windows | Leather Seats | Roof Rack | Sunroof,Awuscoautomobiles,https://jiji.ng/port-harcourt/cars/toyota-camry-se-2-5l-4cyl-8a-2019-black-xEfO5zqBLcc9QsAAsapk26iN.html,"No faults, Unpainted, Original parts",Toyota,Camry,2019,Black,,SE (2.5L 4cyl 8A),,,,,,,,
Toyota Highlander Sport 2009 Gray,"₦ 5,750,000",₦ 5.67 M ~ 5.91 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/115483628_NjIwLTQ2NS00MmE3NjI1ZDMw.webp,https://pictures-nigeria.jijistatic.com/115483628_MTExLTgzLTQyYTc2MjVkMzA.webp | https://pictures-nigeria.jijistatic.com/115483602_MTExLTgzLWUxYWU1YzBiMmQ.webp | https://pictures-nigeria.jijistatic.com/115483615_MTExLTgzLWMzYzQ1NTVjM2M.webp | https://pictures-nigeria.jijistatic.com/115483619_MTExLTE0OC1jNjVmNTdjNWUz.webp | https://pictures-nigeria.jijistatic.com/115483622_MTExLTE0OC1mZTgzZWVlNTgw.webp,Automatic,124870 km,Petrol,Nigerian Used,,Austine Chidi,https://jiji.ng/central-business-district/cars/toyota-highlander-sport-2009-gray-mJf6P2ALxaqnRcVg54Ev8pVw.html,No faults,Toyota,Highlander,2009,Gray,Yes,Sport,SUV,Front Wheel,3500           cc,6,274           hp,7,,
Lexus RX 350L 4WD 2020 White,"₦ 35,850,000",₦ 34.25 M ~ 36.02 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/110805812_NjIwLTQ2NS0xZWY1NDE0NWE3.webp,https://pictures-nigeria.jijistatic.com/110805812_MTExLTgzLTFlZjU0MTQ1YTc.webp | https://pictures-nigeria.jijistatic.com/110805808_MTExLTgzLTVhODUyNzFiYjc.webp | https://pictures-nigeria.jijistatic.com/110805802_MTExLTgzLWRkOGM4MmU2NmQ.webp | https://pictures-nigeria.jijistatic.com/110805815_MTExLTgzLWQxZTBjZDc1Njk.webp | https://pictures-nigeria.jijistatic.com/110805819_MTExLTgzLTBjNWZmZDQ1M2Q.webp,Automatic,6805 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Front Fog Lamps | Parking Sensors | Xenon Lights | Sunroof | Electric Mirrors,Desmond Auto,https://jiji.ng/surulere/cars/lexus-rx-350l-4wd-2020-white-uItjiTcpp4wvVg4rNcmTz3rM.html,"No faults, Unpainted",Lexus,RX,2020,White,No,350L 4WD,SUV,All Wheel,3500           cc,6,295           hp,7,,
Lexus RX 350 2011 Red,"₦ 12,200,000",₦ 11 M ~ 11.8 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/114657183_NjIwLTQ2NS1jNzZjOTg1NTRj.webp,https://pictures-nigeria.jijistatic.com/114657183_MTExLTgzLWM3NmM5ODU1NGM.webp | https://pictures-nigeria.jijistatic.com/114657195_MTExLTgzLTIxMDU5ZTM1Mzc.webp | https://pictures-nigeria.jijistatic.com/114657189_MTExLTgzLWM1MmNlMjY5MjQ.webp | https://pictures-nigeria.jijistatic.com/114657193_MTExLTgzLTE4ZDFiNjhhZDY.webp | https://pictures-nigeria.jijistatic.com/114657181_MTExLTgzLTFkOGMwZjhjMWI.webp,Automatic,,,Foreign Used,,HAND OF GOD AUTOS,https://jiji.ng/apapa/cars/lexus-rx-350-2011-red-wwFHcoxqc0dMYPreAGH8cBvB.html,No faults,Lexus,RX 350,2011,Red,No,,,,,,,,,
Toyota Highlander 2016 White,"₦ 19,999,999",₦ 16.45 M ~ 17.58 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117365826_NjIwLTgyNy1mYTA2NmU0NzRh.webp,https://pictures-nigeria.jijistatic.com/117365826_MTExLTE0OC1mYTA2NmU0NzRh.webp | https://pictures-nigeria.jijistatic.com/117365822_MTExLTE0OC1iMmM4OTRiNDUx.webp | https://pictures-nigeria.jijistatic.com/117365823_MTExLTE0OC1lZTM3YzE0ZGM3.webp | https://pictures-nigeria.jijistatic.com/117365825_MTExLTE0OC1jMjI4NzJiNmRi.webp | https://pictures-nigeria.jijistatic.com/117365827_MTExLTE0OC0wMDAwZjljNmU5.webp,Automatic,,Petrol,Foreign Used,,xiiD’s Autos,https://jiji.ng/surulere/cars/toyota-highlander-2016-white-6kiiXUZZi8eQkCK3qry4sN1H.html,No faults,Toyota,Highlander,2016,White,No,Limited V6 4x2 (3.5L 6cyl 6A),SUV,Front Wheel,3500           cc,6,270           hp,7,,
Mercedes-Benz E350 2010 Off White,"₦ 8,000,000",₦ 7.5 M ~ 8.02 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/115485701_NjIwLTQ2NS0yMjgwN2I5Mjcw.webp,https://pictures-nigeria.jijistatic.com/115485701_MTExLTgzLTIyODA3YjkyNzA.webp | https://pictures-nigeria.jijistatic.com/115485791_MTExLTE0OC05Zjk2MmQyNzVk.webp | https://pictures-nigeria.jijistatic.com/115485713_MTExLTgzLTI3MDRkZjAyNDM.webp | https://pictures-nigeria.jijistatic.com/115485679_MTExLTgzLWQ5NjZhNDEzOTk.webp | https://pictures-nigeria.jijistatic.com/115485722_MTExLTE0OC05ZmMxOGVhZTc3.webp,Automatic,94580 km,Petrol,Foreign Used,Anti-Lock Brakes | Parking Assist | Traction Control | Spotlight | Sunroof | AM/FM Radio | Electric Windows | LED Headlights | Leather Seats | Airbags | Air Conditioning | Front Fog Lamps | Parking Sensors | Electric Mirrors | Alloy Wheels | Xenon Lights,D Two Autos,https://jiji.ng/ifako-ijaiye/cars/mercedes-benz-e350-2010-off-white-1s2xew8fHQaeJYUZVnInYHhg.html,"No faults, Unpainted, Original parts",Mercedes-Benz,E350,2010,Off white,No,Base 2dr Coupe RWD (3.5L 6cyl 7A),Coupe,Rear Wheel,3500           cc,6,268           hp,4,,
Toyota Camry 2003 Red,"₦ 1,450,000",₦ 1.95 M ~ 2.2 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/117215257_NjIwLTYyMC1jZWRmYjU2NDRl.webp,https://pictures-nigeria.jijistatic.com/117215257_MTExLTExMS1jZWRmYjU2NDRl.webp | https://pictures-nigeria.jijistatic.com/117215242_MTExLTExMS02MDljODI4NTQ4.webp | https://pictures-nigeria.jijistatic.com/117215244_MTExLTExMS1jM2UxMDc2MDNk.webp | https://pictures-nigeria.jijistatic.com/117215259_MTExLTExMS1hNWVkMmU0NmNj.webp | https://pictures-nigeria.jijistatic.com/117215248_MTExLTExMS0yYWJjOTc2ODIx.webp,Automatic,172453 km,,Nigerian Used,,Nwokeji Damian,https://jiji.ng/owerri-municipal/cars/toyota-camry-2003-red-8BvtyD7nhS6pp37mtDw3Ky97.html,"No faults, First owner, Original parts",Toyota,Camry,2003,Red,Yes,,,,,,,,,JTDBE32KX20******
Toyota Hilux 2.0 VVT-i SRX 2010 White,"₦ 11,500,000,",,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/92938588_NjIwLTQ2NS00NzE3ZGUzZjBmLTI.webp,https://pictures-nigeria.jijistatic.com/92938588_MTExLTgzLTQ3MTdkZTNmMGYtMg.webp | https://pictures-nigeria.jijistatic.com/92941085_MTExLTgzLWFmYmU2ZjJjOTMtMg.webp | https://pictures-nigeria.jijistatic.com/92941091_MTExLTE0OC1kY2JjNTJjMzNiLTI.webp | https://pictures-nigeria.jijistatic.com/92938842_MTExLTgzLWNkYTUyM2JjMWUtMg.webp | https://pictures-nigeria.jijistatic.com/92941096_MTExLTE0OC0zYzgzZWU3MmE1LTI.webp,Automatic,18645 km,Petrol,Foreign Used,,Kingsunique.cars,https://jiji.ng/lagos-abule-egba/cars/toyota-hilux-2-0-vvt-i-srx-2010-white-rB89iQKvb9wlh0QCzSoXphxc.html,No faults,Toyota,Hilux,2010,White,,2.0 VVT-i SRX,Pickup,Rear Wheel,2000           cc,4,136           hp,2,,
Mercedes-Benz E350 2010 Gold,"₦ 8,500,000",₦ 7.5 M ~ 8.41 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/102497675_NjIwLTgyNy0yM2JhYTNiY2U1.webp,https://pictures-nigeria.jijistatic.com/102497675_MTExLTE0OC0yM2JhYTNiY2U1.webp | https://pictures-nigeria.jijistatic.com/102497670_MTExLTE0OC00Y2VlMDVmYmYw.webp | https://pictures-nigeria.jijistatic.com/102497672_MTExLTE0OC0wNDBhN2JlYWVj.webp | https://pictures-nigeria.jijistatic.com/102497684_MTExLTE0OC02MDIyNzM0NTZi.webp | https://pictures-nigeria.jijistatic.com/102497686_MTExLTE0OC01MzViYmE4ODFm.webp,Automatic,65000 km,Petrol,Foreign Used,,Maxwell Taiwo,https://jiji.ng/central-business-district/cars/mercedes-benz-e350-2010-gold-5YSUFY4rwKkFI7MCdamUX2hn.html,No faults,Mercedes-Benz,E350,2010,Gold,,Base 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500           cc,6,268           hp,5,,
